Simple Viewport Shading (ms);Material Viewport Shading (ms)
9.9069;23.52050005
16.25890005;22.50109997
8.72539997;23.62180001
11.10860007;23.58259994
10.68180008;23.04829995
12.04429998;21.2362
7.93590001;24.37380003
9.01219994;24.73040007
7.66200002;25.62500001
8.50779994;23.97550002
10.03870007;23.28079997
7.89210002;23.2846
9.28300002;23.86800002
9.24520008;22.24899991
8.55470006;22.48020004
14.50779999;24.91720009
8.30730004;21.33550006
7.95940007;24.86650005
8.9281;28.17950002
9.831;25.52619996
8.08010006;21.18529996
8.84350005;21.97960007
9.67840001;24.97179992
7.39789999;24.32540001
7.73950003;21.28630003
10.18970006;23.31149997
7.7515;24.94779998
9.63740004;24.50679999
10.43259993;22.56089996
9.86350002;21.76740009
10.56820003;23.50809996
9.45120002;24.82309996
9.08470002;25.40699998
8.43639998;23.54530001
8.62360001;23.42119999
7.17519992;23.35699997
10.39780001;22.65070006
7.62190006;25.06530005
7.47349998;25.10730003
9.65400005;25.84299992
7.74459995;22.94690011
11.28520002;22.42659999
9.85260005;23.09480007
7.66269991;22.42419997
12.50969991;22.26210001
7.22420006;24.83939996
8.39019998;22.87050011
9.44770011;26.7243
12.1720999;21.78329998
9.05310002;24.24900001
8.59899994;21.68829995
9.60270001;25.70460003
8.60990002;22.34340005
7.0632;22.60929998
8.07400001;22.93129999
9.93349997;24.46929994
8.15579994;23.97520002
7.54829997;21.28310001
9.4024;23.38770009
12.49599992;24.55620002
8.01759993;22.29320002
7.55829993;22.21540001
8.20709998;24.31970008
10.26819996;23.36519992
9.99059994;24.69220001
9.52369999;23.57399999
8.72170005;25.84229992
8.38939997;24.23370001
11.23990002;23.85430003
12.96019997;23.92479999
12.10129994;22.0132001
8.04580003;23.06590008
7.65280006;21.60700003
8.45630001;22.69929997
7.6311999;24.78560002
10.02080005;25.59590002
9.3256;24.34949996
12.08030002;21.33719996
9.99809999;23.02570001
7.79299997;23.66030007
10.48729999;23.41939998
7.92299991;24.54709995
8.27550003;23.32439995
16.25800005;24.39130004
11.61060005;21.13939996
11.07310003;25.83529998
8.8979;23.70089991
8.11030006;23.22959993
8.52749997;25.61260003
9.64549999;22.65439997
12.20230001;24.60599993
8.33470002;24.71300005
10.54419996;20.6108999
8.72789999;24.25679995
7.79860001;24.15109996
10.9799999;24.76270008
10.56590001;23.98429997
10.94369998;22.95439993
10.26080002;23.82769994
7.98580004;24.16190004
10.92440006;22.24730002
9.00690001;25.09159991
10.28859999;24.51460005
9.85739997;22.2761
10.10299998;21.31400001
7.65160006;25.73839994
7.84159999;24.91980011
9.45579994;21.38319996
7.95479992;25.05589998
10.20550006;24.31719995
10.44600003;23.52779999
11.0206001;24.1107
8.7473999;25.41909995
9.26600001;23.65470002
8.56440002;25.36800003
9.72860004;21.8296001
9.20670002;25.00879997
7.54220004;26.19110001
18.76829995;24.7517
14.20149999;21.09970001
10.32449992;22.48420008
12.21420011;21.74489992
7.5805001;23.43010006
9.39280004;23.8042
8.54920002;22.18720003
7.28729996;23.99289992
18.77019997;24.17300001
10.85179998;26.71230002
9.93159995;23.8937001
13.63339997;22.95580006
13.71719991;23.86930003
10.12679993;22.42519998
8.50660005;23.9139999
11.84310007;21.62050002
10.69689996;24.16799997
10.92899998;24.28640006
9.72189999;23.05610001
10.2734;25.02990002
7.76760001;24.28999997
9.88109992;24.15740001
8.36189999;23.24739995
9.70150006;24.96249997
9.50139994;23.90319994
10.04000008;23.70939997
7.54150003;25.35399992
9.43790004;23.05930003
7.9651;21.78159996
9.45290003;23.53989996
11.1613;23.32350006
9.37800005;23.57069997
12.45519996;26.18480008
9.3875;28.1924
10.13399998;24.16879998
10.26110002;22.3975
10.19310008;20.99829994
9.04079992;25.16169997
10.28559997;24.46340001
9.35920002;23.74040009
11.71370002;23.23709999
15.67690005;21.68600005
14.42809997;24.24579998
12.29979994;21.87679999
8.36530002;21.40159998
14.78880004;25.05040006
8.88680003;23.72940001
9.59230005;26.19539993
9.3568;23.33860006
8.17220006;27.43729996
7.73740001;26.47429996
12.29280001;24.47829989
15.22019994;24.66200001
14.4626;22.52899995
19.51100002;27.46849996
13.5943999;15.91740001
9.19500005;23.24230003
14.47749999;25.24659992
10.87310002;22.1069
9.30169993;25.4538001
9.94500006;23.63479999
8.60319997;23.86820002
8.52290005;23.91470002
9.03650001;22.60470006
9.00409999;24.32910004
8.63489998;19.49430001
9.10070003;25.35290003
8.24789994;21.08919993
9.62579995;24.37320002
8.98589997;22.46520005
12.48639997;21.40179998
7.63870007;22.96239999
18.88059999;20.7773
11.58330007;25.96290002
9.7084;21.04669996
8.03789997;23.60870002
7.87699991;24.26010009
8.01950006;21.59679995
10.14339994;22.53219998
11.14040008;24.55069998
9.33809998;25.38539993
7.4145;21.82040003
8.55829997;22.09039999
7.68389995;21.60009998
7.5532;24.51390005
11.24250004;24.508
9.10889998;25.21389991
8.90610006;25.09130002
12.34129991;25.28060006
9.77280003;20.71770001
12.81780005;23.9117
11.85970008;21.03139996
10.56790003;23.98399997
6.9868;22.44480001
12.97649997;26.42660006
11.88559993;23.24600006
10.83219994;27.57270006
10.36099996;25.18410003
11.39350003;23.46619999
11.97739993;22.32640004
14.91680008;22.50079997
8.47960007;25.58690007
10.68409998;20.40729998
10.68549999;26.037
9.17530002;22.28719997
8.31830001;20.7336999
9.06710001;24.39010004
7.42829998;24.50379997
7.99850002;22.78320002
7.75710004;27.65920002
9.78920003;18.67190003
9.65120003;22.16350008
